ten00006_linear
DATAFLOW;LAST UPDATE;freq;unit;wat_proc;wat_src;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;DK;2014;242.66;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;DK;2015;236.99;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;DK;2016;204.99;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;DK;2017;222.11;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;DK;2018;239.10;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;DK;2019;223.04;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;DK;2020;212.46;p
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;DK;2021;252.54;p
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;EE;2010;1546.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;EE;2011;1574.70;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;EE;2012;1357.20;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;EE;2013;1535.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;EE;2014;1525.00;e
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;EE;2015;1414.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;EE;2016;1534.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;EE;2017;1541.35;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;EE;2018;1391.62;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;EE;2019;775.29;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;EE;2020;626.44;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;EE;2021;760.51;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;EL;2010;5015.00;s
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;EL;2011;4409.54;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;EL;2012;4414.76;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;EL;2013;4414.83;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;EL;2014;4401.22;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;EL;2015;4403.07;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;EL;2016;3903.67;b
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;EL;2017;3900.63;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;EL;2018;3897.59;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;EL;2019;3886.87;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;EL;2020;3898.70;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;EL;2021;3863.60;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;ES;2010;28709.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;ES;2011;28926.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;ES;2012;27812.97;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;ES;2013;26236.75;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;ES;2014;26612.71;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;ES;2015;25322.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;ES;2016;24906.00;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;ES;2017;24082.60;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;ES;2018;23688.60;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;ES;2019;23524.60;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;ES;2020;23618.60;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;FR;2010;22355.88;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;FR;2011;22407.92;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;FR;2012;24400.10;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;FR;2013;22206.69;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;FR;2014;21776.34;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;FR;2015;22358.45;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;FR;2016;20933.48;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;FR;2017;21317.71;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;FR;2018;21154.75;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;FR;2019;20544.34;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;FR;2020;19034.28;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;HR;2010;217.88;e
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;HR;2011;200.80;e
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;HR;2012;219.45;e
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;HR;2013;198.22;
ESTAT:TEN00006(1.0);28/07/23 23:00:00;A;MIO_M3;ABST;FSW;HR;2014;179.54;
