"Area Code","Area","Item Code","Item","Element Code","Element","Year Code","Year","Unit","Value","Flag"
211,Switzerland,526,Apricots,5312,Area harvested,1971,1971,ha,,M
211,Switzerland,526,Apricots,5312,Area harvested,1972,1972,ha,,M
211,Switzerland,526,Apricots,5312,Area harvested,1973,1973,ha,,M
211,Switzerland,526,Apricots,5312,Area harvested,1974,1974,ha,,M
211,Switzerland,526,Apricots,5312,Area harvested,1975,1975,ha,,M
211,Switzerland,526,Apricots,5312,Area harvested,1976,1976,ha,,M
211,Switzerland,526,Apricots,5312,Area harvested,1977,1977,ha,,M
211,Switzerland,526,Apricots,5312,Area harvested,1978,1978,ha,,M
211,Switzerland,526,Apricots,5312,Area harvested,1979,1979,ha,,M
211,Switzerland,526,Apricots,5312,Area harvested,1980,1980,ha,,M
211,Switzerland,526,Apricots,5312,Area harvested,1981,1981,ha,,M
211,Switzerland,526,Apricots,5312,Area harvested,1982,1982,ha,,M
211,Switzerland,526,Apricots,5312,Area harvested,1983,1983,ha,,M
211,Switzerland,526,Apricots,5312,Area harvested,1984,1984,ha,,M
211,Switzerland,526,Apricots,5312,Area harvested,1985,1985,ha,700.0,F
211,Switzerland,526,Apricots,5312,Area harvested,1986,1986,ha,690.0,F
211,Switzerland,526,Apricots,5312,Area harvested,1987,1987,ha,700.0,F
211,Switzerland,526,Apricots,5312,Area harvested,1988,1988,ha,720.0,F
211,Switzerland,526,Apricots,5312,Area harvested,1989,1989,ha,750.0,F
211,Switzerland,526,Apricots,5312,Area harvested,1990,1990,ha,795.0,F
211,Switzerland,526,Apricots,5312,Area harvested,1991,1991,ha,510.0,
211,Switzerland,526,Apricots,5312,Area harvested,1992,1992,ha,506.0,
211,Switzerland,526,Apricots,5312,Area harvested,1993,1993,ha,515.0,
211,Switzerland,526,Apricots,5312,Area harvested,1994,1994,ha,518.0,
211,Switzerland,526,Apricots,5312,Area harvested,1995,1995,ha,509.0,
211,Switzerland,526,Apricots,5312,Area harvested,1996,1996,ha,616.0,Im
211,Switzerland,526,Apricots,5312,Area harvested,1997,1997,ha,513.0,
211,Switzerland,526,Apricots,5312,Area harvested,1998,1998,ha,521.0,
211,Switzerland,526,Apricots,5312,Area harvested,1999,1999,ha,514.0,
211,Switzerland,526,Apricots,5312,Area harvested,2000,2000,ha,519.0,
211,Switzerland,526,Apricots,5312,Area harvested,2001,2001,ha,530.0,
211,Switzerland,526,Apricots,5312,Area harvested,2002,2002,ha,558.0,
211,Switzerland,526,Apricots,5312,Area harvested,2003,2003,ha,471.0,
211,Switzerland,526,Apricots,5312,Area harvested,2004,2004,ha,592.0,
211,Switzerland,526,Apricots,5312,Area harvested,2005,2005,ha,602.0,
211,Switzerland,526,Apricots,5312,Area harvested,2006,2006,ha,625.0,
211,Switzerland,526,Apricots,5312,Area harvested,2007,2007,ha,646.0,
211,Switzerland,526,Apricots,5312,Area harvested,2008,2008,ha,660.0,
211,Switzerland,526,Apricots,5312,Area harvested,2009,2009,ha,669.0,
211,Switzerland,526,Apricots,5312,Area harvested,2010,2010,ha,689.0,
211,Switzerland,526,Apricots,5312,Area harvested,2011,2011,ha,670.0,
211,Switzerland,526,Apricots,5312,Area harvested,2012,2012,ha,694.0,
211,Switzerland,526,Apricots,5312,Area harvested,2013,2013,ha,702.0,
211,Switzerland,526,Apricots,5312,Area harvested,2014,2014,ha,708.0,
211,Switzerland,526,Apricots,5312,Area harvested,2015,2015,ha,709.0,
211,Switzerland,526,Apricots,5312,Area harvested,2016,2016,ha,721.0,
211,Switzerland,526,Apricots,5312,Area harvested,2017,2017,ha,736.0,
211,Switzerland,526,Apricots,5312,Area harvested,2018,2018,ha,739.0,
211,Switzerland,526,Apricots,5312,Area harvested,2019,2019,ha,742.0,
211,Switzerland,526,Apricots,5419,Yield,1985,1985,hg/ha,142857.0,Fc
211,Switzerland,526,Apricots,5419,Yield,1986,1986,hg/ha,72464.0,Fc
211,Switzerland,526,Apricots,5419,Yield,1987,1987,hg/ha,185714.0,Fc
211,Switzerland,526,Apricots,5419,Yield,1988,1988,hg/ha,36806.0,Fc
211,Switzerland,526,Apricots,5419,Yield,1989,1989,hg/ha,189000.0,Fc
211,Switzerland,526,Apricots,5419,Yield,1990,1990,hg/ha,92453.0,Fc
211,Switzerland,526,Apricots,5419,Yield,1991,1991,hg/ha,82353.0,Fc
211,Switzerland,526,Apricots,5419,Yield,1992,1992,hg/ha,186759.0,Fc
211,Switzerland,526,Apricots,5419,Yield,1993,1993,hg/ha,34660.0,Fc
211,Switzerland,526,Apricots,5419,Yield,1994,1994,hg/ha,133185.0,Fc
